9759091062				The Xtreme Brite Brightening gel is a potent and concentrated formula designed to achieve a more radiant and luminous skin tone. This gel effectively eliminates blackheads and cosmetic acne, promoting a clearer complexion.
B000052YJD				Introducing the Facial Sponge, designed specifically for sensitive skin. This sponge provides a thorough cleanse and refreshes your skin on a daily basis. It is perfect for use with your favorite cleanser. Additionally, it serves as the ideal preparation for sunless tanning, leaving your skin feeling clean and rejuvenated. You can also use it with your preferred soap or cleanser. The sponge effectively removes dry and dulling skin cells, while gently cleansing away makeup, dirt, and excess oil. As a result, your skin will be left smooth, soft, and perfectly primed for moisturizers, makeup, and sunless tanning. Rest assured, this product has been dermatology-tested for gentleness. Choose the sponge that will make your face look and feel its best, whether you have extra gentle, gentle, regular, delicate sensitive skin, normal to dry skin, or normal to oily skin. Experience the benefits of daily cleansing with mild or deep exfoliation. Made in the USA.
B000052YMX				This face cream is highly recommended by dermatologists. It contains phospholipids that effectively restore and preserve the natural moisture balance in dry and sensitive skin. The formulation of COMPLEX 15 Therapeutic Moisturizing Face Cream is designed specifically for those with mild to severe dry skin, taking inspiration from nature. It includes lecithin, a water-binding agent derived from phospholipids that are naturally present in the skin. The cream is non-greasy and absorbs quickly, leaving no residue. It is unscented and free from parabens, lanolin, and mineral oil. Additionally, it has been proven to be hypoallergenic, noncomedogenic, and fragrance-free.
B000052ZTY				Introduced in 1995, this fragrance features notes of woods, fresh citrus, and spicy leaves. It is recommended for daytime use. When applying any fragrance, it is important to consider that various factors can influence the way it smells on your skin. These factors include your mood, stress level, age, body chemistry, diet, and current medications. Additionally, the condition of your skin, whether it is dry or oily, can also impact how long the fragrance will last after application.
B00005304H				"<P>Q-tips Cotton Swabs have more soft cotton at the tip* than any other swab. Made with 100% pure cotton, these swabs are gentle and effective. The firm paper stick gives under pressure, and the cotton is securely attached with a special adhesive.</P>
<P>Not just for ears, Q-tips Cotton Swabs are versatile and suitable for the whole family. They can be used for applying and removing makeup, touching up a manicure, and even caring for newborn babies.</P>
<P>Unlike some other brands, Q-tips Cotton Swabs are made with 100% natural materials and are biodegradable when composted. Supporting recycling in your community is encouraged.</P>
<P>If you need a soft touch, Q-tips Cotton Swabs are the ideal choice. They are the softest and safest swabs available.</P>
<P>The packaging features a handy snap lock opening for convenience.</P>
<P>*Measured from the end of the stick to the top of the swab.</P>
<P>Made in the USA.</P>"
B0000531II				Achieve a lasting, shine-free appearance throughout the day with our oil control loose powder. This powder is 100% oil-free, ensuring a fresh and flawless look. Choose from our light and medium shades to find your perfect match.
B0000531NU				Achieve instant triple the volume with ease. Experience all-day wear without any clumps or globs. Our patented Anti-Clump Brush ensures a flawless application. Rest assured, our formula is safe for contact lens wearers. Volum' Express offers a long-lasting waterproof formula that effortlessly builds up to triple the lash volume. Say goodbye to clumps and globs as our Volume-Building Waterproof Formula, combined with the innovative Patented Anti-Clump Brush, effortlessly thickens lashes for a stunning and dramatic look.
B000089SA4				"Biodegradable, Hypo-Allergenic, Cruelty Free. 

Why Choose Glycerin Soap?
Glycerin is a natural humectant that attracts moisture into the skin, leaving it cleansed without disrupting the delicate pH balance necessary for soft and healthy skin.

Clearly Natural Glycerin Products are:
- Made from 100% vegetable glycerin
- Hypo-allergenic for sensitive skin
- Recommended by dermatologists
- Composed of 100% natural ingredients
- Completely biodegradable
- Longer lasting with superior sudsing action
- Animal-Friendly: no animal testing or animal ingredients."
B00008J2XQ				Our specially formulated hand cream is unlike any other. It is non-greasy, fragrance-free, and provides intense relief for dry skin. Packed with rich emollients, it creates a protective barrier against harsh elements. Aveeno Intense Relief Hand Cream goes beyond ordinary hand creams by providing 24-hour moisture and even lasting through hand washing.
B000093I60				Experience a Refreshing Clean in Minutes. Our product leaves your skin feeling clean, refreshed, and free from odors. With its concentrated formula, you can enjoy 16 complete baths. No rinsing required, saving you time and effort. Our perineal cleanser is alcohol-free, ensuring no dryness. It is gentle on sensitive skin and can be used as a liquid soap at full strength. Say goodbye to traditional bathing with our fast, easy, and convenient alternative. Not only does it provide a warm and comfortable bathing experience for patients, but it also makes the caregiver's job easier. Eliminate slip and fall incidents while reducing bathing time and laundry costs. Whether you lack facilities, have physical limitations, discomfort, or fear of bathing, our No Rinse Body Bath is the perfect solution. Trusted by hospitals and even used by NASA astronauts on space shuttle flights. We guarantee 100% satisfaction with our product, proudly made in the USA.
B0000CNR0J				This rectangular organizer is designed to protect electric shavers and other delicate items during travel. It features padding on all sides to ensure their safety. The zipper extends fully around three sides, allowing easy access to the contents without any obstructions. Additionally, there is a clear plastic zippered pocket located under the top flap, which is perfect for isolating wet or leaking items. The organizer also includes two elastic straps to securely hold toothbrushes and small items. On the exterior, there is a small zipped pocket that can be used to store essential items like bandage strips and aspirin. The interior of the organizer is lined with nylon, while the outside is made of a durable ramie-polyester fabric that can be easily wiped clean. Measuring 10 by 7 by 3-1/2 inches, this organizer also comes with a strong webbing carry handle for convenient transportation.
B0000CNR0E				Introducing a practical solution for wrinkle-free travel, this tie case is designed to safeguard up to six neckties. With its soft and smooth lining, it ensures that even delicate silk ties remain unharmed. Each half of the case includes two wide elastic straps, providing a secure hold for the ties. The zipper extends fully around three sides, allowing the case to open flat for effortless access. Measuring 17 by 6 by 1-1/4 inches, this case is crafted from durable ramie-polyester fabric and can be easily cleaned with a simple wipe. - Ann Bieri
B000142FVW				Indulge in a luscious, velvety pink shade infused with an intriguing touch. Whether you're trapped in the confines of your office or stuck in traffic, gazing at your pink manicure will transport you to the enchanting paradise of Bora Bora, leaving behind any hint of monotony.
B00016WV6E				This product enhances shine, adds volume, and conditions hair of all colors and types. It has a gentle formula that is non-irritating to the scalp and skin. It brings out the natural highlights in your hair and is made with Rainbow's Neutral (colorless) Henna. Rainbow Henna is completely organic, containing no additives, chemicals, or pesticides. It coats each hair strand with color, blending seamlessly and gradually fading over a period of 4-6 weeks. Additionally, it smooths and seals the hair's cuticle, resulting in increased shine and body. Rainbow offers customized recipes for special effects, covering grey hair, and improving hair texture.
B00017XWJ8				Ralph is a lively fragrance that combines the invigorating scent of crisp green apple leaves, the tangy aroma of zesty orange mandarin, the captivating presence of charismatic pink magnolia, the uplifting fragrance of inspiring purple freesia, and the gentle touch of soft blue musk. Together, these elements create a vibrant essence that defines Ralph.
B0001LH6YG				Introducing My Spots Are Concealed, the ultimate cover stick designed to effortlessly conceal common complexion imperfections and seamlessly blend with your natural skin tone. With its waterproof formula, this remarkable product is available in three shades and can be used independently or in conjunction with a water-based foundation to effectively hide any unsightly marks or blemishes on both your face and body.
B00021AK4I				Calvin Klein's EDT Spray, with a volume of 1.7 oz, was introduced in 1994. This fragrance boasts delightful notes of papaya, pineapple, and jasmine, complemented by the refreshing scents of green tea and amber. It is highly recommended for daytime use.
