9759091062				Xtreme Brite Brightening Gel is a potent formula designed to enhance skin clarity and radiance. Its concentrated formula effectively targets blackheads and cosmetic acne, promoting a smoother, brighter complexion.
B000052YJD				Introducing the One Facial Sponge, the perfect daily cleanser for sensitive skin. This gentle sponge thoroughly cleanses and refreshes, removing makeup, dirt, and excess oil without irritation. It also lifts away dry, dulling skin cells, leaving your skin feeling clean, smooth, and soft. Perfect for prepping skin for moisturizers, makeup, or sunless tanning, the One Facial Sponge is available in a range of options to suit your skin type, from extra gentle to deep exfoliation. Dermatologist-tested for gentleness, this sponge is made in the USA and is the perfect choice for a healthy, radiant complexion.
B000052YMX				Recommended by dermatologists, COMPLEX 15 Therapeutic Moisturizing Face Cream is formulated for dry, sensitive skin. Its unique system, inspired by nature, contains phospholipids, including lecithin, which naturally bind water to restore and maintain skin's moisture balance. This non-greasy formula absorbs quickly, leaving skin feeling soft and hydrated. Free from parabens, lanolin, mineral oil, and fragrance, it is hypoallergenic, non-comedogenic, and suitable for even the most sensitive skin.
B000052ZTY				Introduced in 1995, this fragrance features notes of woods, fresh citrus, and spicy leaves. Recommended for daytime use, it's important to note that individual factors such as mood, stress, age, body chemistry, diet, and medications can influence how a scent smells on the wearer. Additionally, skin type can affect fragrance longevity.
B00005304H				Q-tips® Cotton Swabs: The Softest, Safest Choice**Q-tips® Cotton Swabs are crafted with 100% pure cotton, boasting the most soft cotton at the tip compared to any other swab. Their firm paper stick provides gentle pressure, while a secure adhesive ensures the cotton remains firmly attached.Versatile and family-friendly, Q-tips® are ideal for various tasks, including makeup application and removal, manicure touch-ups, and newborn baby care.Unlike other brands, Q-tips® are made with 100% natural materials and are biodegradable when composted. They support recycling efforts and are the perfect choice for tasks requiring a delicate touch.With their convenient Snap Lock Opening, Q-tips® Cotton Swabs are the softest and safest option available, ensuring a gentle and effective experience.
B0000531II				Indulge in a flawless, shine-free complexion with our Oil Control Loose Powder. Its 100% oil-free formula absorbs excess oil, leaving you with a fresh, matte finish that endures throughout the day. Available in light and medium shades, this powder seamlessly adapts to your skin tone for a natural, radiant look.
B0000531NU				Introducing Volum' Express, the mascara that instantly triples lash volume for all-day wear. Its patented Anti-Clump Brush ensures a clump-free, even application, while the waterproof formula keeps your lashes looking voluminous and defined all day long. Contact lens safe, Volum' Express is the perfect choice for creating a dramatic lash look that lasts.
B000089SA4				"Glycerin Soap: The Natural Choice for Healthy Skin**Glycerin soap is a gentle and effective cleanser that nourishes and protects the skin. Its humectant properties draw moisture into the skin, leaving it soft and hydrated. Unlike harsh soaps, glycerin soap maintains the skin's natural pH balance, preventing dryness and irritation.**Benefits of Clearly Natural Glycerin Products:*** 100% vegetable glycerin
* Hypoallergenic for sensitive skin
* Dermatologist recommended
* 100% natural ingredients
* Biodegradable
* Long-lasting with superior sudsing action
* Cruelty-free: no animal testing or ingredients"
B00008J2XQ				Aveeno Intense Relief Hand Cream is a non-greasy, fragrance-free formula that provides 24-hour protection and moisturization for dry skin. Its unique blend of emollients and Intense Relief Hand Cream helps heal dry skin and forms a protective barrier against environmental stressors. Unlike ordinary hand creams, Aveeno Intense Relief Hand Cream remains effective even after hand washing, ensuring continuous skin protection and hydration.
B000093I60				Experience the convenience and comfort of No Rinse Body Bath. This concentrated formula provides 16 complete baths, leaving your skin clean, refreshed, and odor-free without the need for rinsing. Its gentle formula, free from alcohol and harsh chemicals, is suitable for sensitive skin and perineal cleansing. As a liquid soap, it offers a fast and easy alternative to traditional bathing, reducing bathing time and laundry costs. Ideal for situations with limited facilities, physical limitations, or fear of bathing, No Rinse Body Bath provides a warm and comfortable bathing experience. Trusted by NASA astronauts and approved by hospitals, it guarantees 100% satisfaction. Made in the USA, it's the perfect solution for maintaining hygiene and well-being.
