9759091062				The Xtreme Brite Brightening gel is an incredibly potent gel designed to achieve a more radiant and luminous complexion. This powerful formula effectively eliminates blackheads and cosmetic acne.
B000052YJD				"Introducing the Facial Sponge, designed specifically for sensitive skin. This sponge is perfect for your daily cleansing routine, leaving your skin thoroughly cleansed and refreshed. It can be used with your favorite cleanser or soap, making it versatile and convenient. 

Not only does it remove dry and dulling skin cells, but it also gently cleanses away makeup, dirt, and excess oil. The result is smooth and soft skin that is perfectly prepped for moisturizers, makeup, and even sunless tanning. 

Rest assured, this sponge has been dermatology-tested for gentleness, ensuring it is safe for all skin types. Choose from our range of options to find the sponge that suits your needs: Extra Gentle, Gentle, Regular, Delicate for Sensitive Skin, Normal to Dry Skin, and Normal to Oily Skin. 

Experience the difference with our Facial Sponge, proudly made in the USA."
B000052YMX				This face cream is highly recommended by dermatologists. It is enriched with phospholipids that effectively restore and preserve the natural moisture balance of dry and sensitive skin. The formulation of COMPLEX 15 Therapeutic Moisturizing Face Cream is inspired by nature and is suitable for both mild and severe dry skin conditions. It contains lecithin, a water-binding agent derived from phospholipids that are naturally present in the skin. The cream is non-greasy and quickly absorbs into the skin. It is unscented and free from parabens, lanolin, and mineral oil. Additionally, it has been proven to be hypoallergenic, noncomedogenic, and fragrance-free.
B000052ZTY				Introduced in 1995, this fragrance features notes of woods, fresh citrus, and spicy leaves. It is recommended for daytime use. When applying any fragrance, it is important to consider that various factors can influence the way it smells on your skin. These factors include your mood, stress level, age, body chemistry, diet, and current medications. Additionally, the condition of your skin, whether it is dry or oily, can also impact the longevity of the fragrance after application.
B00005304H				"<P>Q-tips Cotton Swabs have more soft cotton at the tip than any other swab. These swabs are made with 100% pure cotton and have a firm paper stick that gives gently under pressure. The cotton is secured to the stick with a special adhesive.</P>
<P>These swabs are not just for ears, they are ideal for the whole family. You can use them to apply and remove makeup or touch up a manicure. They are also gentle enough to care for newborn babies.</P>
<P>Unlike some other cotton swab brands, Q-tips Cotton Swabs are made with 100% natural materials and are biodegradable when composted. It is encouraged to support recycling in your community.</P>
<P>If you need a soft touch, Q-tips Cotton Swabs are ideal for the task. There is no softer or safer swab available.</P>
<P>The packaging features a handy snap lock opening.</P>
<P>*The measurement is from the end of the stick to the top of the swab.</P>
<P>Made in the USA</P>"
B0000531II				Achieve a lasting, shine-free appearance throughout the day with our oil control loose powder. This powder is 100% oil-free, ensuring a fresh and flawless look. Choose from our light and medium shades to find your perfect match.
B0000531NU				Achieve instant triple the volume with ease. Enjoy long-lasting wear throughout the day without any clumps or globs. Our patented Anti-Clump Brush ensures a smooth application. Rest assured, our formula is safe for contact lens wearers. Experience the incredible lash transformation with Volum' Express. Our waterproof formula effortlessly builds up to triple the lash volume, while the innovative Anti-Clump Brush guarantees a dramatic and clump-free look.
B000089SA4				"- Biodegradable, Hypo-Allergenic, Cruelty Free
- Why Choose Glycerin Soap?
Glycerin is a natural humectant that draws moisture into the skin, cleansing without disrupting the delicate pH balance for soft, healthy skin.
- Clearly Natural Glycerin Products:
- 100% vegetable glycerin
- Suitable for sensitive skin
- Recommended by dermatologists
- Made with 100% natural ingredients
- Completely biodegradable
- Longer lasting with superior sudsing action
- Animal-Friendly: No animal testing or animal ingredients."
B00008J2XQ				Our specially formulated hand cream is unlike any other. It is non-greasy, fragrance-free, and provides intense relief for dry skin. With the help of rich emollients, it creates a protective barrier against harsh elements. Unlike regular hand creams, Aveeno Intense Relief Hand Cream not only moisturizes but also protects the skin for a full 24 hours, even after hand washing.
B000093I60				Experience a Refreshing Clean in Minutes. Our product leaves your skin feeling clean, refreshed, and free from any unwanted odors. With its concentrated formula, you can enjoy 16 complete baths from just one bottle. The best part? Absolutely no rinsing is necessary. Our perineal cleanser is alcohol-free, ensuring that your skin stays moisturized and free from dryness. It is also gentle on sensitive skin, making it suitable for everyone. Use it at full strength as a liquid soap for maximum effectiveness. Our product offers a fast, easy, and convenient alternative to traditional bathing methods. It provides a warm and comfortable bathing experience for patients, making it easier for caregivers as well. Say goodbye to slip and fall incidents, as our product eliminates the need for water and reduces bathing time. This not only saves you time but also reduces laundry and linen costs. Whether you lack bathing facilities, have physical limitations, experience discomfort, or simply fear bathing, our No Rinse Body Bath is the perfect solution. It is a trusted companion to our original No Rinse Shampoo, which has been approved by thousands of hospitals. In fact, it is even used by NASA astronauts on all space shuttle flights. We guarantee 100% satisfaction with our product, and it is proudly made in the USA.
